Comment,Designator,Footprint,LCSC,Quantity
100K,"R3,R4",CRCW0603100KFKEA,C2907088,2
10uF,C1,CL10A106KP8NNNC,C19702,1
1K,R1,RCG06031K00FKEA,C21190,1
2K,R2,0603WAF2001T5E,C22975,1
